edad_mujer,edad_hombre,tot
12,12,1704
12,13,2
12,14,18
12,15,43
12,16,70
12,17,95
12,18,132
12,19,126
12,20,140
12,21,113
12,22,124
12,23,117
12,24,118
12,25,108
12,26+,707
13,12,2
13,13,12
13,14,76
13,15,233
13,16,545
13,17,659
13,18,744
13,19,682
13,20,495
13,21,383
13,22,294
13,23,262
13,24,174
13,25,145
13,26+,505
14,12,8
14,13,19
14,14,232
14,15,886
14,16,4085
14,17,5735
14,18,7034
14,19,6369
14,20,5064
14,21,3951
14,22,3000
14,23,2230
14,24,1643
14,25,1226
14,26+,4509
15,12,11
15,13,17
15,14,225
15,15,1665
15,16,8708
15,17,14075
15,18,18279
15,19,17419
15,20,14755
15,21,11024
15,22,8512
15,23,6320
15,24,4586
15,25,3633
15,26+,11239
16,12,26
16,13,13
16,14,197
16,15,1438
16,16,14602
16,17,28537
16,18,44536
16,19,45371
16,20,39073
16,21,30166
16,22,22921
16,23,16950
16,24,12725
16,25,9413
16,26+,29364
17,12,42
17,13,10
17,14,109
17,15,863
17,16,10226
17,17,29510
17,18,54145
17,19,60796
17,20,56156
17,21,45842
17,22,35367
17,23,26433
17,24,19752
17,25,15077
17,26+,45238
